2023-12-05 13:39:01,676 INFO    Thread-10 :12532 [wandb_setup.py:_flush():76] Current SDK version is 0.16.0
2023-12-05 13:39:01,677 INFO    Thread-10 :12532 [wandb_setup.py:_flush():76] Configure stats pid to 12532
2023-12-05 13:39:01,677 INFO    Thread-10 :12532 [wandb_setup.py:_flush():76] Loading settings from C:\Users\iker1\.config\wandb\settings
2023-12-05 13:39:01,677 INFO    Thread-10 :12532 [wandb_setup.py:_flush():76] Loading settings from C:\GI_Machine_Learning_Project-master\Wrist_Original_Architecture\wandb\settings
2023-12-05 13:39:01,677 INFO    Thread-10 :12532 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'project': 'GI_Machine_Learning_Project', 'entity': 'barilan', 'root_dir': 'C:\\GI_Machine_Learning_Project-master\\Wrist_Original_Architecture', 'run_id': '6a0v36p4', 'sweep_param_path': 'C:\\GI_Machine_Learning_Project-master\\Wrist_Original_Architecture\\wandb\\sweep-fn1itpwv\\config-6a0v36p4.yaml', 'sweep_id': 'fn1itpwv'}
2023-12-05 13:39:01,677 INFO    Thread-10 :12532 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-12-05 13:39:01,677 INFO    Thread-10 :12532 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'sweep_conf.py', 'program_abspath': 'C:\\GI_Machine_Learning_Project-master\\Wrist_Original_Architecture\\sweep_conf.py', 'program': 'C:\\GI_Machine_Learning_Project-master\\Wrist_Original_Architecture\\sweep_conf.py'}
2023-12-05 13:39:01,677 INFO    Thread-10 :12532 [wandb_init.py:_log_setup():524] Logging user logs to C:\GI_Machine_Learning_Project-master\Wrist_Original_Architecture\wandb\run-20231205_133901-6a0v36p4\logs\debug.log
2023-12-05 13:39:01,678 INFO    Thread-10 :12532 [wandb_init.py:_log_setup():525] Logging internal logs to C:\GI_Machine_Learning_Project-master\Wrist_Original_Architecture\wandb\run-20231205_133901-6a0v36p4\logs\debug-internal.log
2023-12-05 13:39:01,678 INFO    Thread-10 :12532 [wandb_init.py:init():564] calling init triggers
2023-12-05 13:39:01,678 INFO    Thread-10 :12532 [wandb_init.py:init():571] wandb.init called with sweep_config: {'batch_size': 16, 'epoch': 10, 'lr': 2e-05, 'num_of_measurements': 8192, 'shape': [64, 128]}
config: {}
2023-12-05 13:39:01,678 INFO    Thread-10 :12532 [wandb_init.py:init():614] starting backend
2023-12-05 13:39:01,678 INFO    Thread-10 :12532 [wandb_init.py:init():618] setting up manager
2023-12-05 13:39:01,686 INFO    Thread-10 :12532 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn, using: spawn
2023-12-05 13:39:01,687 INFO    Thread-10 :12532 [wandb_init.py:init():624] backend started and connected
2023-12-05 13:39:01,703 INFO    Thread-10 :12532 [wandb_run.py:_config_callback():1342] config_cb None None {'batch_size': 16, 'epoch': 10, 'lr': 2e-05, 'num_of_measurements': 8192, 'shape': [64, 128]}
2023-12-05 13:39:01,755 INFO    Thread-10 :12532 [wandb_init.py:init():716] updated telemetry
2023-12-05 13:39:01,755 INFO    Thread-10 :12532 [wandb_init.py:init():749] communicating run to backend with 90.0 second timeout
2023-12-05 13:39:02,417 INFO    Thread-10 :12532 [wandb_run.py:_on_init():2254] communicating current version
2023-12-05 13:39:02,874 INFO    Thread-10 :12532 [wandb_run.py:_on_init():2263] got version response 
2023-12-05 13:39:02,874 INFO    Thread-10 :12532 [wandb_init.py:init():800] starting run threads in backend
2023-12-05 13:39:02,987 INFO    Thread-10 :12532 [wandb_run.py:_console_start():2233] atexit reg
2023-12-05 13:39:02,987 INFO    Thread-10 :12532 [wandb_run.py:_redirect():2088] redirect: wrap_raw
2023-12-05 13:39:02,988 INFO    Thread-10 :12532 [wandb_run.py:_redirect():2153] Wrapping output streams.
2023-12-05 13:39:02,988 INFO    Thread-10 :12532 [wandb_run.py:_redirect():2178] Redirects installed.
2023-12-05 13:39:02,989 INFO    Thread-10 :12532 [wandb_init.py:init():841] run started, returning control to user process
2023-12-05 13:39:05,258 INFO    Thread-10 :12532 [wandb_run.py:_finish():1962] finishing run barilan/GI_Machine_Learning_Project/6a0v36p4
2023-12-05 13:39:05,258 INFO    Thread-10 :12532 [wandb_run.py:_atexit_cleanup():2202] got exitcode: 1
2023-12-05 13:39:05,258 INFO    Thread-10 :12532 [wandb_run.py:_restore():2185] restore
2023-12-05 13:39:05,258 INFO    Thread-10 :12532 [wandb_run.py:_restore():2191] restore done
2023-12-05 13:39:09,891 INFO    Thread-10 :12532 [wandb_run.py:_footer_history_summary_info():3760] rendering history
2023-12-05 13:39:09,891 INFO    Thread-10 :12532 [wandb_run.py:_footer_history_summary_info():3792] rendering summary
2023-12-05 13:39:09,907 INFO    Thread-10 :12532 [wandb_run.py:_footer_sync_info():3719] logging synced files
